Name,Popularity,Rank
Simisear,148000,702
Basculin,147000,703
Elgyem,146000,704
Cryogonal,146000,705
Whirlipede,145000,706
Bergmite,141000,707
Avalugg,138000,708
Tirtouga,134000,709
Gurdurr,132000,710
Karrablast,126000,711
Flabébé,114000,712
Spewpa,105000,713
Claydol,63200,714
